id,cost,locked_in,locked_out,xloc,yloc
1,1,FALSE,FALSE,-32.65,-3.95
2,1,FALSE,FALSE,-32.64,-3.95
3,1,FALSE,FALSE,-32.63,-3.95
4,1,FALSE,FALSE,-32.62,-3.95
5,1,FALSE,FALSE,-32.61,-3.95
6,1,FALSE,FALSE,-32.6,-3.95
7,1,FALSE,FALSE,-32.59,-3.95
8,1,FALSE,FALSE,-32.58,-3.95
9,1,FALSE,FALSE,-32.57,-3.95
10,1,FALSE,FALSE,-32.56,-3.95
11,1,FALSE,FALSE,-32.55,-3.95
12,1,FALSE,FALSE,-32.54,-3.95
13,1,FALSE,FALSE,-32.53,-3.95
14,1,FALSE,FALSE,-32.52,-3.95
15,1,FALSE,FALSE,-32.51,-3.95
16,1,FALSE,FALSE,-32.5,-3.95
17,1,FALSE,FALSE,-32.49,-3.95
18,1,FALSE,FALSE,-32.48,-3.95
19,1,FALSE,FALSE,-32.47,-3.95
20,1,FALSE,FALSE,-32.46,-3.95
21,1,FALSE,FALSE,-32.45,-3.95
22,1,FALSE,FALSE,-32.44,-3.95
23,1,FALSE,FALSE,-32.43,-3.95
24,1,FALSE,FALSE,-32.42,-3.95
25,1,FALSE,FALSE,-32.41,-3.95
26,1,FALSE,FALSE,-32.4,-3.95
27,1,FALSE,FALSE,-32.39,-3.95
28,1,FALSE,FALSE,-32.38,-3.95
29,1,FALSE,FALSE,-32.37,-3.95
30,1,FALSE,FALSE,-32.36,-3.95
31,1,FALSE,FALSE,-32.35,-3.95
32,1,FALSE,FALSE,-32.34,-3.95
33,1,FALSE,FALSE,-32.33,-3.95
34,1,FALSE,FALSE,-32.32,-3.95
35,1,FALSE,FALSE,-32.31,-3.95
36,1,FALSE,FALSE,-32.3,-3.95
37,1,FALSE,FALSE,-32.65,-3.94
38,1,FALSE,FALSE,-32.64,-3.94
39,1,FALSE,FALSE,-32.63,-3.94
40,1,FALSE,FALSE,-32.62,-3.94
41,1,FALSE,FALSE,-32.61,-3.94
42,1,FALSE,FALSE,-32.6,-3.94
43,1,FALSE,FALSE,-32.59,-3.94
44,1,FALSE,FALSE,-32.58,-3.94
45,1,FALSE,FALSE,-32.57,-3.94
46,1,FALSE,FALSE,-32.56,-3.94
47,1,FALSE,FALSE,-32.55,-3.94
48,1,FALSE,FALSE,-32.54,-3.94
49,1,FALSE,FALSE,-32.53,-3.94
50,1,FALSE,FALSE,-32.52,-3.94
51,1,FALSE,FALSE,-32.51,-3.94
52,1,FALSE,FALSE,-32.5,-3.94
53,1,FALSE,FALSE,-32.49,-3.94
54,1,FALSE,FALSE,-32.48,-3.94
55,1,FALSE,FALSE,-32.47,-3.94
56,1,FALSE,FALSE,-32.46,-3.94
57,1,FALSE,FALSE,-32.45,-3.94
58,1,FALSE,FALSE,-32.44,-3.94
59,1,FALSE,FALSE,-32.43,-3.94
60,1,FALSE,FALSE,-32.42,-3.94
61,1,FALSE,FALSE,-32.41,-3.94
62,1,FALSE,FALSE,-32.4,-3.94
63,4.52636052461616,FALSE,FALSE,-32.39,-3.94
64,1,FALSE,FALSE,-32.38,-3.94
65,1,FALSE,FALSE,-32.37,-3.94
66,1,FALSE,FALSE,-32.36,-3.94
67,1,FALSE,FALSE,-32.35,-3.94
68,1,FALSE,FALSE,-32.34,-3.94
69,1,FALSE,FALSE,-32.33,-3.94
70,1,FALSE,FALSE,-32.32,-3.94
71,1,FALSE,FALSE,-32.31,-3.94
72,1,FALSE,FALSE,-32.3,-3.94
73,1,FALSE,FALSE,-32.65,-3.93
74,1,FALSE,FALSE,-32.64,-3.93
75,1,FALSE,FALSE,-32.63,-3.93
76,2.38629436111989,FALSE,FALSE,-32.62,-3.93
77,1,FALSE,FALSE,-32.61,-3.93
78,1,FALSE,FALSE,-32.6,-3.93
79,1,FALSE,FALSE,-32.59,-3.93
80,1,FALSE,FALSE,-32.58,-3.93
81,1,FALSE,FALSE,-32.57,-3.93
82,1,FALSE,FALSE,-32.56,-3.93
83,1,FALSE,FALSE,-32.55,-3.93
84,1,FALSE,FALSE,-32.54,-3.93
85,1,FALSE,FALSE,-32.53,-3.93
86,1,FALSE,FALSE,-32.52,-3.93
87,1,FALSE,FALSE,-32.51,-3.93
88,1,FALSE,FALSE,-32.5,-3.93
89,1,FALSE,FALSE,-32.49,-3.93
90,1,FALSE,FALSE,-32.48,-3.93
91,1,FALSE,FALSE,-32.47,-3.93
92,1,FALSE,FALSE,-32.46,-3.93
93,1,FALSE,FALSE,-32.45,-3.93
94,1,FALSE,FALSE,-32.44,-3.93
95,1,FALSE,FALSE,-32.43,-3.93
96,1,FALSE,FALSE,-32.42,-3.93
97,1,FALSE,FALSE,-32.41,-3.93
98,1,FALSE,FALSE,-32.4,-3.93
99,1,FALSE,FALSE,-32.39,-3.93
100,1,FALSE,FALSE,-32.38,-3.93
101,1,FALSE,FALSE,-32.37,-3.93
102,1,FALSE,FALSE,-32.36,-3.93
103,1,FALSE,FALSE,-32.35,-3.93
104,1,FALSE,FALSE,-32.34,-3.93
105,1,FALSE,FALSE,-32.33,-3.93
106,1,FALSE,FALSE,-32.32,-3.93
107,1,FALSE,FALSE,-32.31,-3.93
108,1,FALSE,FALSE,-32.3,-3.93
109,1,FALSE,FALSE,-32.65,-3.92
110,1.69314718055995,FALSE,FALSE,-32.64,-3.92
111,7.42971947803914,FALSE,FALSE,-32.63,-3.92
112,5.98360662170834,FALSE,FALSE,-32.62,-3.92
113,1,FALSE,FALSE,-32.61,-3.92
114,1,FALSE,FALSE,-32.6,-3.92
115,1,FALSE,FALSE,-32.59,-3.92
116,1,FALSE,FALSE,-32.58,-3.92
117,1,FALSE,FALSE,-32.57,-3.92
118,1,FALSE,FALSE,-32.56,-3.92
119,1,FALSE,FALSE,-32.55,-3.92
120,1,FALSE,FALSE,-32.54,-3.92
121,1,FALSE,FALSE,-32.53,-3.92
122,1,FALSE,FALSE,-32.52,-3.92
123,1,FALSE,FALSE,-32.51,-3.92
124,1,FALSE,FALSE,-32.5,-3.92
